Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU PLN ULP PADANG PANJANG,"Padang Panjang, Silaing Bawah, Kec. Padang Panjang Bar., Kota Padang Panjang, Sumatera Barat 27118",Buka 24 Jam,5.00,147.82 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:30:05
SPKLU PLN ULP MENTOK,"JL. Jenderan Basuki Rachmat, Air Belo, Mentok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351",Buka 24 Jam,5.00,424.58 km,3/3 Konektor Tersedia,"('7 kW', '100 kW', '100 kW')","(1, 1, 1)",2025-05-14 20:50:41
SPKLU BANK SUMUT IMAM BONJOL,"Jl. Imam Bonjol No.18, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20212",Buka 24 Jam,5.00,557.16 km,0/1 Konektor Tersedia,"('22 kW',)","(0,)",2025-05-14 21:10:14
SPKLU PLN UP3 CIKUPA,"Jl. Raya Serang , KM 17,2 Cikupa, Kabupaten Tangerang, Banten 15710",Buka 24 Jam,5.00,833.41 km,2/2 Konektor Tersedia,"('7 kW', '22 kW')","(1, 1)",2025-05-14 21:51:03
SPKLU PT Indomobil Trada Nasional,"Jl. Pantai Indah Selatan No.1, Penjaringan, Jakarta Utara, DKI Jakarta 14460",Buka 24 Jam,4.77,843.24 km,4/4 Konektor Tersedia,"('22 kW', '22 kW', '25 kW', '25 kW')","(1, 1, 1, 1)",2025-05-14 22:04:45
SPKLU Apartemen Annora Living,"Jl Jendral Sudirman No.9, Babakan, Tangerang, Sukasari, Kecamatan Tangerang, RT.005/RW.013, Sukasari, Kec. Tangerang, Kota Tangerang, Banten 15118",Buka 24 Jam,5.00,840.05 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-14 21:58:42
SPKLU TRANSMART SERANG,"Jl. Jendral Achmad Yani No. 196 - 198, Sumur Pecung,  Kec Serang, Kota Serang,  Banten",Buka 24 Jam,3.17,801.49 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-14 21:37:33
SPKLU PLN AIR BANGIS,"JL. H.BAKRI SULAIMAN, Aia Bangih, Sungai Beremas, West Pasaman Regency, Sumatra Barat 26573",Buka 24 Jam,5.00,268.95 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:44:08
SPKLU KORDA ALUE BILIE,"Desa Tuwi Buya, Kec. Darul Makmur, Kabupaten Nagan Raya, Aceh 23662",Buka 24 Jam,0.00,756.44 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:30:21
SPKLU KANTOR GUBERNUR BABEL,"Jl. Pulau Bangka, Air Itam, Kec. Bukitintan, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33684",Buka 24 Jam,5.00,529.95 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:05:53
SPKLU PLN UP3 BANTEN SELATAN,"Jl. RT Hardiwinangun No.41, Rangkasbitung Banten 42312",Buka 24 Jam,4.94,827.08 km,2/2 Konektor Tersedia,"('25 kW', '22 kW')","(1, 1)",2025-05-14 21:44:11
SPKLU Rest Area KM 45 Tol Merak - Tangerang,"Rest Area Merak-Jakarta Km. 45, Kp. Cigereng, Koper, Kec. Kresek, Kabupaten Tangerang, Banten 15620",Buka 24 Jam,4.10,823.51 km,1/1 Konektor Tersedia,"('25 kW',)","(1,)",2025-05-14 21:42:33
SPKLU PLN MUARA KIAWAI,"JL.MUARA KIAWAI, Gunung Tuleh, West Pasaman Regency, West Sumatra 26571",Buka 24 Jam,0.00,231.76 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:40:19
SPKLU HOTEL SANTIKA LAHAT,"Jl. Lubuk Beringin No.138, Kel.Manggul, Kec. Lahat, Kabupaten Lahat, Sumatera Selatan",Buka 24 Jam,5.00,424.47 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:50:19
SPKLU Citra 8 (Danau),"Jl. Citra 7 No.7, RT.7/RW.11, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840",Buka 24 Jam,3.72,838.67 km,2/3 Konektor Tersedia,"('22 kW', '22 kW', '22 kW')","(1, 1, 0)",2025-05-14 21:55:33
SPKLU PLN ULP BELANTI,"Jl. Khatib Sulaiman No.46, Ulak Karang Selatan, Kec. Padang Utara, Kota Padang, Sumatera Barat 25173",Buka 24 Jam,4.88,160.75 km,1/1 Konektor Tersedia,"('4 kW',)","(1,)",2025-05-14 20:32:41
SPKLU Kejaksaan Negeri Jakarta Barat,"Kembangan Utara, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",Buka 24 Jam,4.00,846.96 km,2/2 Konektor Tersedia,(),(),2025-05-14 22:11:49
SPKLU UCI BENY Angke Heritage PIK 2,"Jl. M.H Thamrin Kav DJ-09, Salembaran, Kec. Kosambi, Kabupaten Tangerang, Banten 15214",Buka 24 Jam,4.67,833.20 km,2/3 Konektor Tersedia,"('22 kW', '120 kW', '120 kW')","(1, 1, 0)",2025-05-14 21:49:48
SPKLU PLN ULP PANGKALAN KERINCI,"JL. Akasia, Pangkalan Kerinci Bar., Kec. Pangkalan Kerinci, Kabupaten Pelalawan, Riau",Buka 24 Jam,5.00,90.95 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:18:55
SPKLU WING HUB KUALANAMU,"Komplek Hub, Kualanamu Hub Commercial Bizpark, Jl. Arteri Kualanamu No.9, Tumpatan Nibung, Kec. Batang Kuis, Kabupaten Deli Serdang, Sumatera Utara 20372",Buka 24 Jam,4.60,548.33 km,5/5 Konektor Tersedia,"('22 kW', '60 kW', '60 kW', '60 kW', '60 kW')","(1, 1, 1, 1, 1)",2025-05-14 21:08:27
SPKLU PLN UP3 RENGAT,"Jl. Lintas Timur, Desa Sungai Dawu, Kec. Rengat Barat - Indragiri Hulu",Buka 24 Jam,4.74,80.13 km,2/2 Konektor Tersedia,"('A CCS2', 'B CCS2')","(1, 1)",2025-05-14 20:17:59
SPKLU PLN ULP JEURAM,"Desa Simpang Peut, Kec. Kuala, Kabupaten Nagan Raya, Aceh 23681",Buka 24 Jam,0.00,785.09 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:33:32
SPKLU REST AREA KM 311 PALEMBANG,Ruas Tol Terbangi Besar - Pematang Panggang  - Kayu Agung,Buka 24 Jam,4.29,491.27 km,3/3 Konektor Tersedia,"('22 kW', '120 kW', '120 kW')","(1, 1, 1)",2025-05-14 21:00:28
SPKLU EVCITY Apartemen Pantai Mutiara,"Jl. Pantai Mutiara, Pluit, Jkt Utara, Daerah Khusus Ibukota Jakarta",Buka 24 Jam,4.48,843.90 km,4/5 Konektor Tersedia,"('7 kW', '120 kW', '120 kW', '60 kW', '60 kW')","(0, 1, 1, 1, 1)",2025-05-14 22:05:29
SPKLU Taman Merdeka Kota Metro,"Jl. AH Nasution, Imopuro, Kec. Metro Pusat, Kota Metro, Lampung",Buka 24 Jam,4.72,654.74 km,1/1 Konektor Tersedia,"('7 kW',)","(1,)",2025-05-14 21:19:27
SPKLU PLN ULP KENTEN,"Palembang, Suka Maju, Kec. Sako, Kota Palembang, Sumatera Selatan 30961",Buka 24 Jam,0.00,438.70 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:53:00
SPKLU PLN ULP PAYAKUMBUH,"Jl. Moh. Yamin, Padang Tiakar Hilir, Kec. Payakumbuh Timur, Kota Payakumbuh, Sumatera Barat 26212",Buka 24 Jam,4.67,121.19 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:24:32
SPKLU PLN ULP PAGAR ALAM,"Jalan Ulu Rurah, Pagar Alam Selatan, Kota Pagar Alam, Sumatera Selatan",Buka 24 Jam,0.00,435.04 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:51:48
